Date;Time;U(Volts);I(Amps);P(Wt);Pnom;L(Wt/m^2);T(deg.Cels.)
2021-04-22;0:00:02;1;1;1;1;1;1
2021-04-22;0:00:32;1;1;1;1;1;1
2021-04-22;0:01:02;1;1;1;1;1;1
2021-04-22;0:01:32;1;1;1;1;1;1
2021-04-22;0:02:02;1;1;1;1;1;1
2021-04-22;0:02:32;1;1;1;1;1;1
2021-04-22;0:03:02;1;1;1;1;1;1
2021-04-22;0:03:32;1;1;1;1;1;1
2021-04-22;0:04:02;1;1;1;1;1;1
2021-04-22;0:04:32;1;1;1;1;1;1
2021-04-22;0:05:02;1;1;1;1;1;1
2021-04-22;0:05:32;1;1;1;1;1;1
2021-04-22;0:06:02;1;1;1;1;1;1
2021-04-22;0:06:32;1;1;1;1;1;1
2021-04-22;0:07:02;1;1;1;1;1;1
2021-04-22;0:07:32;1;1;1;1;1;1
2021-04-22;0:08:02;1;1;1;1;1;1
2021-04-22;0:08:32;1;1;1;1;1;1
2021-04-22;0:09:02;1;1;1;1;1;1
2021-04-22;0:09:32;1;1;1;1;1;1
2021-04-22;0:10:02;1;1;1;1;1;1
2021-04-22;0:10:32;1;1;1;1;1;1
2021-04-22;0:11:02;1;1;1;1;1;1
2021-04-22;0:11:32;1;1;1;1;1;1
2021-04-22;0:12:02;1;1;1;1;1;1
2021-04-22;0:12:32;1;1;1;1;1;1
2021-04-22;0:13:02;1;1;1;1;1;1
2021-04-22;0:13:32;1;1;1;1;1;1
2021-04-22;0:14:02;1;1;1;1;1;1
2021-04-22;0:14:32;1;1;1;1;1;1
2021-04-22;0:15:02;1;1;1;1;1;1
2021-04-22;0:15:32;1;1;1;1;1;1
2021-04-22;0:16:02;1;1;1;1;1;1
2021-04-22;0:16:32;1;1;1;1;1;1
2021-04-22;0:17:02;1;1;1;1;1;1
2021-04-22;0:17:32;1;1;1;1;1;1
2021-04-22;0:18:02;1;1;1;1;1;1
2021-04-22;0:18:32;1;1;1;1;1;1
2021-04-22;0:19:02;1;1;1;1;1;1
2021-04-22;0:19:32;1;1;1;1;1;1
2021-04-22;0:20:02;1;1;1;1;1;1
2021-04-22;0:20:32;1;1;1;1;1;1
2021-04-22;0:21:02;1;1;1;1;1;1
2021-04-22;0:21:32;1;1;1;1;1;1
